product_name,product_description,ingredients,allergies,more,full_name_product,calories,proteins_g,carbohydrates_g,sugars_g,sugar_teaspoons,fats_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,calcium_mg,brand_name
חטיפי שוקולד חלב קל,92 קלוריות לחטיף - חטיפי שוקולד חלב קל עם כדורי דגנים פריכים (15%),"ממתיקים (אריתריטול, מלטיטול, סוכרלוז), עיסת קקאו, כדורי דגנים פריכים 15% [קמח חיטה (מכיל גלוטן), סוכר, עמילן חיטה, מתפיחים (E-500ii), שומן צמחי, מלח], אבקת חלב, חמאת קקאו, סיבים תזונתיים (אינולין, סיבים ממקור חיטה), שומן חלב, סידן (טרי קלציום ציטראט), מתחלבים (לציטין סויה/ליפתית E-476), ונילין, מלח. כלל מוצקי קקאו בשוקולד חלב: 29% מינימום.","מכיל גלוטן (ממקור חיטה), חלב, סויה (מלציטין). עשוי להכיל עקבות מזעריים של אגוזים, בוטנים, שומשום, ביצים.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","חטיפי שוקולד חלב קל, עלית",370.0,8.0,22.0,,,26.0,16.0,,9.0,276.0,685.0,עלית
שוקולד באצבעות - 8 אצבעות שוקולד מריר במילוי קרם אגוזים,אצבעות שוקולד מריר מעולה 50% מוצקי קקאו במילוי קרם אגוזים (30%),"סוכר, עיסת קקאו, חמאת קקאו, שמנים ושומנים מהצומח, אגוזי לוז (4%), קשיו, שקדים, אבקת חלב, לקטוזה, שומן חלב, מתחלבים (לציטין סויה/לפתית, E-476), ונילין, אבקת קקאו, מלח. כלל מוצקי קקאו בשוקולד מריר מעולה: 50% מינימום.","מכיל: חלב, אגוזים (לוז, קשיו, שקדים) וסויה (מלציטין. בפסח הלציטין מליפתית). עלול להכיל עקבות מזעריים של גלוטן, בוטנים, ביצים, שומשום.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","שוקולד באצבעות - 8 אצבעות שוקולד מריר במילוי קרם אגוזים, עלית",571.0,6.5,49.0,,,39.0,21.0,,4.0,14.0,,עלית
פסקזמן בראוניז,7 אצבעות שוקולד חלב מעולה במילוי ופל שחור וקרם בטעם בראוניז (36%),"סוכר, חמאת קקאו, אבקת חלב, עיסת קקאו, שמנים ושומנים מן הצומח, אבקת מי גבינה, קמח חיטה (גלוטן), לקטוזה, שומן חלב, קמח סויה, מתחלבים (לציטין סויה/ליפתית, E-476), חומרי טעם וריח, אבקת קקאו, איזוגלוקוזה, מלח, מתפיחים (E-503ii, E-500ii), אנזימים (פרוטאינזה). כלל מוצקי קקאו שוקולד חלב מעולה: 30% מינימום.","מכיל: חלב, חיטה - גלוטן, סויה. עלול להכיל: (שעורה, שיבולת שועל) - גלוטן, בוטנים, שומשום, ביצים, אגוזים (לוז, קשיו, שקדים, פקאן, פיסטוק, אגוז מלך).","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","פסקזמן בראוניז, עלית",529.0,5.8,59.0,54.0,,30.0,18.3,,6.3,67.0,,עלית
אגוזי מריר,חטיף אגוזים מצופה שוקולד מריר 60% מוצקי קקאו (32%),"סוכר, גלוקוזה, אגוזי לוז (17%), עיסת קקאו, שומנים ושמנים מהצומח, מים, חמאת קקאו, חומרי הלחה (סורביטול, גליצרין), אבקת חלב, מלח, חלבוני ביצה וסויה, מלטודקסטרין, מווסת חומציות (E-500ii), חומר מונע קצף (E-900), חומר משמר (E-202), מתחלבים (לציטין סויה/לפתית, E-476), חומרי טעם וריח, ונילין. כלל מוצקי קקאו בשוקולד מריר מעולה 60% מינימום.","מכיל אגוזי לוז, חלב, סויה, ביצים. עלול להכיל עקבות מזעריים של גלוטן, שומשום, בוטנים.","ללא צבעי מאכל.
																		
מכיל חומרים משמרים.","אגוזי מריר, עלית",484.0,5.1,58.0,,,26.0,10.6,,0.4,142.0,,עלית
אצבעות שוקולד חלב במילוי מלא מלא מלא עוגיות וקרם חלב,אצבעות שוקולד חלב במילוי עוגיות וקרם חלב,"סוכר, אבקת חלב (נוכרי), חמאת קקאו, שמנים ושומנים מהצומח, אבקת מי גבינה (מוצקי חלב נוכרי), עיסת קקאו, עוגיות [קמח חיטה (מכיל גלוטן), סוכר, שמנים ושומנים מהצומח, קמח סויה, לתת, מלח, סיבים תזונתיים (צלולוזה), מתחלב (לציטין), מתפיחים (E-503ii, E-500ii), חומרי טעם וריח, חומצת מאכל (חומצת לימון) ], לקטוזה, שומן חלב, מתחלבים (לציטין סויה/ליפתית E-476), חומרי טעם וריח. כלל מוצקי קקאו בשוקולד חלב: 30% מינימום.","מכיל גלוטן (ממקור חיטה), חלב, סויה (מלציטין). עשוי להכיל עקבות מזעריים של אגוזים, בוטנים, ביצים, שומשום.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","אצבעות שוקולד חלב במילוי מלא מלא מלא עוגיות וקרם חלב, עלית",540.0,5.0,58.0,,,32.0,20.0,,27.0,100.0,,עלית
פתי בר - ביסקוויט בטעם שוקולד,ערך תזונתי של פתי בר - ביסקוויט בטעם שוקולד,"קמח חיטה (גלוטן), סוכר, שומנים ושמנים מהצומח, אבקת קקאו (4%), עמילן תירס, חומרי תפיחה (E-500ii, E-503ii), לתת שעורה (גלוטן), מלח, מתחלב (לציטין סויה/לפתית), מווסתי חומציות (E-339, חומצת לימון), חומרי טעם וריח, מעכב חמצון (סולפיט).","מכיל חיטה ושעורה - גלוטן, סויה, סולפיט. עלול להכיל שיבולת שועל - גלוטן, חלב, אגוזים (לוז, קשיו, שקדים, אגוז מלך, פקאן, פיסטוק, קוקוס), ביצים, שומשום, בוטנים.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","פתי בר - ביסקוויט בטעם שוקולד, עלית",444.0,8.0,78.0,21.0,,11.1,5.5,,,250.0,,עלית
שוקולד חלב עם שברי אגוזים,שוקולד חלב מעולה עם שברי אגוזים,"סוכר, שברי אגוזי לוז (16%), חמאת קקאו, אבקת חלב, עיסת קקאו, אבקת מי גבינה, שומן חלב, לקטוזה, מתחלבים (לציטין סויה/ליפתית, E-476), מלח, ונילין. כלל מוצקי קקאו בשוקולד חלב מעולה: 30% מינימום.","מכיל: חלב, סויה (מלציטין, בפסח הלציטין מליפתית), אגוזים (לוז). עלול להכיל: (חיטה, שעורה, שיבולת שועל) - גלוטן, בוטנים, שומשום, ביצים, אגוזים (קשיו, פקאן, פיסטוק, קוקוס, אגוז מלך, שקדים).","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","שוקולד חלב עם שברי אגוזים, עלית",546.0,8.0,52.0,49.0,,34.0,15.7,,13.0,69.0,,עלית
הסדרה המפנקת - שקדים ובוטנים,שוקולד מריר מעולה (60%) בתוספת שברי שקדים ובוטנים,"עיסת קקאו, סוכר, חמאת קקאו, שקדים (6%), שברי בוטנים (6%), שומן חלב, מלח, ונילין, חומר מעכב חמצון (E-319). כלל מוצקי קקאו בשוקולד מריר מעולה: 60% מינימום.","מכיל בוטנים, שקדים, חלב. עשוי להכיל עקבות מזעריים של סויה, גלוטן, שומשום, ביצים, אגוזים.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","הסדרה המפנקת - שקדים ובוטנים, עלית",573.0,8.0,43.0,,,41.0,23.0,,6.0,31.0,,עלית
MUST LONG LAST בטעם מלון ואבטיח בלי גרעינים,גומי לעיסה ללא סוכר בטעם מלון ואבטיח בלי גרעינים,"ממתיקים (סורביטול, איזומלט, סירופ מלטיטול, מניטול, אספרטם, אצסולפם K), בסיס גומי (מכיל מעכב חמצון E-321), חומרי טעם וריח, מייצב (E-414), חומר הלחה (E-422), חומצות מאכל (חומצת לימון, חומצה מלית), מתחלב (לציטין סויה), צבע מאכל (E-171), חומר הזגה (E-903).","מכיל סויה, עשוי להכיל עקבות מזעריים של חלב (יוצר על קו ייצור חלבי שהוכשר לפרווה).","מכיל צבעי מאכל. צבע מאכל (E-171).																		
ללא חומרים משמרים.","MUST LONG LAST בטעם מלון ואבטיח בלי גרעינים, עלית",172.0,0.0,65.0,,,1.8,,,,0.0,,עלית
דוריטוס בטעם אמריקן ברביקיו,חטיף תירס בטעם אמריקן ברביקיו,"תירס, שמן צמחי, דקסטרוז, מלח, סוכר, חומרים מחזקי טעם (מונוסודיום גלוטמט, E627, E631), חומר מווסת חומציות (E262), אבקת בצל, שמן, פפריקה, מלטודקסטרין, חומרי טעם וריח.","עשוי להכיל עקבות מזעריים של בוטנים, סויה, גלוטן (ממקור חיטה).","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","דוריטוס בטעם אמריקן ברביקיו, עלית",521.0,6.5,63.0,,,27.0,12.0,,0.0,728.0,,עלית
תפוצ`יפס עשוי עם 100% שמן זית בטעם רוזמרין,"חטיף תפו""א בטעם רוזמרין","תפוחי אדמה טבעיים, שמן זית (33%), מלטודקסטרין, חומר מחזק טעם (מונוסודיום גלוטמט), מלח, מיצוי רוזמרין, פטרוזיליה, חומרי טעם וריח.","עשוי להכיל עקבות מזעריים של גלוטן (ממקור חיטה), בוטנים, סויה.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","תפוצ`יפס עשוי עם 100% שמן זית בטעם רוזמרין, עלית",523.0,6.1,51.0,,,33.0,4.6,,0.0,1093.0,,עלית
רבע לשבע - גלילי ופל מרובעים בציפוי שוקולד חלב מעולה במילוי קרם חמאת בוטנים,גלילי ופל מרובעים (30%) בציפוי שוקולד חלב מעולה (25%) במילוי קרם חמאת בוטנים (45%),"שוקולד חלב מעולה 25%, חמאת בוטנים 16.2%, קמח חיטה (גלוטן), שמנים ושומנים מהצומח, סוכר, דקסטרוזה, קמח סויה, מלח, מתחלב (לציטין סויה), סוכר שרוף, מעכב חימצון (מיצוי רוזמרין), חומרי טעם וריח.","מכיל חיטה - גלוטן, חלב, בוטנים, סויה. עלול להכיל: שעורה ושיבולת שועל - גלוטן, ביצים שומשום, אגוזים (לוז, קשיו, שקדים, אגוז מלך, פקאן, פיסטוק).","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","רבע לשבע - גלילי ופל מרובעים בציפוי שוקולד חלב מעולה במילוי קרם חמאת בוטנים, עלית",546.0,10.0,50.0,37.0,,34.0,15.0,,,259.0,,עלית
